sno,question,option1,option2,option3,option4,correct option,difficulty
1,CLR is the .Net equivalent of _____.,Java Virtual machine,Common Language Runtime,Common Type System,Common Language Specification,Java Virtual machine,easy
2,Abstract class contains _____.,Abstract methods,Non Abstract methods,Both,None,Both,easy
3,The default scope for the members of an interface is _____.,private,public,protected,internal,public,easy
4,Which of the following statements is incorrect about delegate?,Delegates are reference types.,Delegates are object-oriented.,Delegates are type-safe.,Only one can be called using a delegate.,Only one can be called using a delegate.,easy
5,The space required for structure variables is allocated on the stack.,TRUE,FALSE,Maybe,Can't say,TRUE,easy
6,The data members of a class by default are?,"protected,public","private,public",private,public,private,easy
7,Which of the following .NET components can be used to remove unused references from the managed heap?,Class Loader,Garbage Collector,CTS,CLR,Garbage Collector,easy
8,Managed methods will be marked as ____ in MSIL code,mscorjit,cil,dgclr,None,cil,easy
9,The point at which an exception is thrown is called the _____.,Default point,Invoking point,Calling point,Throw point,Throw point,easy
10,Which of the following keywords is used to refer base class constructor to subclass constructor?,this,static,base,extend,base,easy
11,"In Inheritance concept,which of the following members of base class are accessible to derived class members?",static,protected,private,shared,protected,easy
12,Which of these data type values is returned by equals() method of String class?,char,int,boolean,All of the mentioned,boolean,easy
13,What will be the declaration of the variable ptr as the pointer to array of 6 floats?,float *ptr[6],float [6]*ptr,float(*ptr)[6],float(*ptr)(6),float(*ptr)[6],easy
14,Which of these constructors is used to create an empty String object?,String(),String(void),String(0),None of the mentioned,String(),easy
15,Select the properties related to the network errors generated by WebException:,Responses,get,set,None of the mentioned,Responses,easy
16,Select the type argument of an open constructed type?,Gen,Gen.,Gen<>,None of the mentioned,Gen<>,easy
17,Select the namespace which should be included while making use of LINQ operations:,System.Text,System.Collections.Generic,System.Linq,None of the mentioned,System.Linq,easy
18,Which among the given classes is present in System.Collection.Generic.namespace?,Stack,Tree,Sorted Array,All of the mentioned,Stack,easy
19,Which property among the following represents the current position of the stream?,long Length,long Position,int Length,All of the mentioned,int Length,easy
20,Which of the following is the default access specifier of a class member function?,Private,Public,Protected,Internal,Private,easy
21,"Which of the following property of Array class in C# gets a 32-bit integer,the total number of elements in all the dimensions of the Array?",Rank,LongLength,Length,None of the above.,Length,medium
22,Which of the following converts a type to a signed byte type in C#?,ToInt64,ToSbyte,ToSingle,ToInt32,ToSbyte,medium
23,Which of the following converts a type to an unsigned long type in C#?,ToType,ToUInt16,ToUInt32,ToString,ToUInt16,medium
24,How many Bytes are stored by Long Datatype in C# .net?,8,4,2,1,8,medium
25,"Arrange the following datatype in order of increasing magnitude sbyte,short,long,int.",long < short < int < sbyte,sbyte < short < int < long,short < sbyte < int < long,short < int < sbyte < long,sbyte < short < int < long,medium
