sno,question,option1,option2,option3,option4,correct option,difficulty
1,The strictest transaction isolation level provided by SQL Server is called _____________ .,REPEATABLE READ,SERIALIZABLE,READ COMMITTED,READ UNCOMMITTED,SERIALIZABLE,easy
2,Which of the three possible types of triggers does SQL Server support?,INSTEAD OF only,AFTER only,BEFORE only,INSTEAD OF and AFTER only,INSTEAD OF and AFTER only,easy
3,"With which type of SQL Server recovery model, is no logging done?",Differential recovery,Full recovery,Bulk-logged recovery,Simple recovery,Simple recovery,easy
4,SQL data definition commands make up a(n) ?,DDL,DML,HCL,XML,DDL,easy
5,Which of the following is valid SQL for an Index?,CREATE INDEX ID,CHANGE INDEX ID,ADD INDEX ID,REMOVE INDEX ID,CREATE INDEX ID,easy
6,The SQL keyword(s) ________ is used with wildcards.,LIKE only,IN only,NOT IN only,IN and NOT IN,LIKE only,easy
7,The result of a SQL SELECT statement is a(n) ?,Report,Form,File,Table,Table,easy
8,Which of the following are the five built-in functions provided by SQL?,"COUNT, SUM, AVG, MAX, MIN","SUM, AVG, MIN, MAX, MULT","SUM, AVG, MULT, DIV, MIN","SUM, AVG, MIN, MAX, NAME","COUNT, SUM, AVG, MAX, MIN",easy
9,"To remove duplicate rows from the results of an SQL SELECT statement, the __________ qualifier specified must be included.",ONLY,UNIQUE,DISTINCT,SINGLE,DISTINCT,easy
10,___________ sorts rows in SQL?,SORT BY,SORT BY,ORDER BY,GROUP BY,ORDER BY,easy
11,The SQL keyword BETWEEN is used ______________ .,For ranges,To limit the columns displayed,As a wildcard,None of the above is correct,For ranges,easy
12,__________ was adopted as a national standard by ANSI in 1992.,Oracle,SQL,Microsoft Access,DBase,SQL,easy
13,SQL is ______________ .,A programming language,An operating system,A data sub-language,A DBMS,A data sub-language,easy
14,_____________ is used to define a new assertion in SQL.,create check,create assertion where,create where,create assertion check,create assertion check,easy
15,SQL is a __________ language.,Database Languages,Declarative Languages,Both,None of above,Declarative Languages,easy
16,SQL outputs a single table known as the ____________ .,view,column,Table space,Result set,Result set,easy
17,In SQL which operators on a data base to produce output for user demand?,Interactive,Embedded,Both,None of above,Interactive,easy
